State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Madhya Pradesh",Badwani,"Badwani(F&V) APMC",Onion,Onion,Local,05/04/2026,1200,1200,1200
"Madhya Pradesh",Badwani,"Badwani(F&V) APMC",Brinjal,Brinjal,Local,05/04/2026,1000,1000,1000
"Uttar Pradesh","Jalaun (Orai)","Orai APMC",Mustard,Other,FAQ,05/04/2026,6000,6300,6287.54
"Uttar Pradesh","Jalaun (Orai)","Orai APMC",Wheat,Dara,FAQ,05/04/2026,2585,2585,2585
"Uttar Pradesh",Sitapur,"Sidhauli APMC",Wood,Eucalyptus,FAQ,05/04/2026,700,700,700
"Uttar Pradesh",Ayodhya,"Ayodhya APMC",Wood,Eucalyptus,FAQ,05/04/2026,500,500,500
"Uttar Pradesh",Azamgarh,"Azamgarh APMC",Wheat,Dara,FAQ,05/04/2026,2425,2425,2425
"West Bengal",Bankura,"Bishnupur(Bankura) APMC",Rice,Fine,"Grade Range-3",05/04/2026,4500,4700,4600
"West Bengal",Bankura,"Bishnupur(Bankura) APMC",Wheat,Sonalika,Non-FAQ,05/04/2026,2900,3200,3100
"West Bengal",Bankura,"Bishnupur(Bankura) APMC",Brinjal,Brinjal,Local,05/04/2026,2000,2800,2300
"West Bengal",Bankura,"Bishnupur(Bankura) APMC",Onion,Nasik,Non-FAQ,05/04/2026,1500,2000,1800
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Potato,Other,Local,05/04/2026,2600,2800,2700
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)",Thondekai,Thondekai,Local,05/04/2026,6800,7000,6900
"Tamil Nadu",Dharmapuri,"Karimangalam(Uzhavar Sandhai)","Chow Chow","Chow Chow",Local,05/04/2026,3600,3800,3700
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Tomato,Deshi,Local,05/04/2026,1300,1800,1550
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Bhindi(Ladies Finger)",Bhindi,Local,05/04/2026,4500,5000,4750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)","Sweet Potato","Hosur Red",Local,05/04/2026,3500,4000,3750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Carrot,Pusakesar,Local,05/04/2026,4500,5000,4750
"Tamil Nadu",Salem,"Mecheri(Uzhavar Sandhai)",Lemon,Lemon,Local,05/04/2026,5000,6000,5500
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Groundnut,"Big (With Shell)",Local,05/04/2026,6500,7000,6750
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Cluster beans","Cluster Beans",Local,05/04/2026,3500,3500,3500
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)","Bhindi(Ladies Finger)",Bhindi,Local,05/04/2026,3600,4200,3900
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Cucumbar(Kheera),Cucumbar,Local,05/04/2026,2000,2500,2250
"Tamil Nadu",Vellore,"Pallikonda(Uzhavar Sandhai)",Mango(Raw-Ripe),"Mango - Raw-Ripe",Local,05/04/2026,3000,3000,3000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Brinjal,Other,Local,05/04/2026,3000,3500,3250
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Coriander(Leaves),"I Sort",Local,05/04/2026,4000,4000,4000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Tomato,Deshi,Local,05/04/2026,1200,1500,1350
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)","Bhindi(Ladies Finger)",Bhindi,Local,05/04/2026,4000,4000,4000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Coconut,Coconut,Local,05/04/2026,4000,4000,4000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Drumstick,Drumstick,Local,05/04/2026,4000,4000,4000
"Tamil Nadu",Vellore,"Perampet(Uzhavar Sandhai)",Colacasia,Colacasia,Local,05/04/2026,4600,4600,4600
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Papaya,Papaya,Local,05/04/2026,3000,3000,3000
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)","Bitter gourd","Bitter Gourd",Local,05/04/2026,5000,5000,5000
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Pumpkin,Pumpkin,Local,05/04/2026,2500,2500,2500
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Amaranthus,Amaranthus,Local,05/04/2026,2500,2500,2500
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)","Green Chilli","Green Chilly",Local,05/04/2026,5000,5000,5000
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Carrot,Pusakesar,Local,05/04/2026,6000,6000,6000
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Drumstick,Drumstick,Local,05/04/2026,6000,6000,6000
"Tamil Nadu",Thanjavur,"Peravurani(Uzhavar Sandhai)",Lemon,Lemon,Local,05/04/2026,6000,6000,6000
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Coriander(Leaves),"I Sort",Local,05/04/2026,4500,5000,4750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)","Bitter gourd","Bitter Gourd",Local,05/04/2026,2000,2500,2250
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)","Bhindi(Ladies Finger)",Bhindi,Local,05/04/2026,3500,4000,3750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Amaranthus,Amaranthus,Local,05/04/2026,1500,2000,1750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Coconut,Coconut,Local,05/04/2026,3500,4000,3750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Snakeguard,Snakeguard,Local,05/04/2026,2500,3000,2750
"Tamil Nadu",Pudukkottai,"Ponnamaravathi(Uzhavar Sandhai)",Mango(Raw-Ripe),"Mango - Raw-Ripe",Local,05/04/2026,3500,4000,3750
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Groundnut,"Big (With Shell)",Local,05/04/2026,7500,8000,7750
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Coriander(Leaves),"I Sort",Local,05/04/2026,3000,3500,3250
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)","Water Melon","Water Melon",Local,05/04/2026,1500,1800,1650
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Pumpkin,Pumpkin,Local,05/04/2026,1800,2000,1900
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Amaranthus,Amaranthus,Local,05/04/2026,2000,2400,2200
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)","Banana - Green","Banana - Green",Local,05/04/2026,2600,3000,2800
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Beans,"Beans (Whole)",Local,05/04/2026,7000,7500,7250
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Ginger(Green),"Green Ginger",Local,05/04/2026,7500,8000,7750
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Cabbage,Cabbage,Local,05/04/2026,2500,3000,2750
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Snakeguard,Snakeguard,Local,05/04/2026,2800,3000,2900
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Ridgeguard(Tori),Ridgeguard(Tori),Local,05/04/2026,3500,4000,3750
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)",Thondekai,Thondekai,Local,05/04/2026,4500,5000,4750
"Tamil Nadu",Salem,"Vazhapadi(Uzhavar Sandhai)","Green Avare(W)",Other,Local,05/04/2026,6000,6500,6250
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Onion,Bellary,Local,05/04/2026,2500,3000,2750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Coriander(Leaves),"I Sort",Local,05/04/2026,5500,6000,5750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Tomato,Deshi,Local,05/04/2026,1800,2000,1900
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)","Bhindi(Ladies Finger)",Bhindi,Local,05/04/2026,5500,6000,5750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Amaranthus,Amaranthus,Local,05/04/2026,1500,2500,2000
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Beans,"Beans (Whole)",Local,05/04/2026,6500,7000,6750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Beetroot,Beetroot,Local,05/04/2026,4500,5000,4750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Drumstick,Drumstick,Local,05/04/2026,2500,3000,2750
"Tamil Nadu",Karur,"Gandhigramam(Uzhavar Sandhai)",Mint(Pudina),Mint(Pudina),Local,05/04/2026,3500,4000,3750
"Uttar Pradesh",Bahraich,"Bahraich APMC",Wheat,Other,FAQ,05/04/2026,2430,2430,2430
"West Bengal",Medinipur(W),"Ghatal APMC",Paddy(Common),Common,Local,05/04/2026,2370,2395,2380
"West Bengal",Medinipur(W),"Ghatal APMC",Onion,Onion,Medium,05/04/2026,1600,1650,1630
"West Bengal",Medinipur(W),"Ghatal APMC","Sweet Pumpkin",Other,Local,05/04/2026,2000,2200,2100
"Uttar Pradesh",Banda,"Banda APMC",Firewood,Firewood,FAQ,05/04/2026,430,430,430
"Uttar Pradesh",Banda,"Banda APMC",Wheat,Other,FAQ,05/04/2026,2600,2600,2600
"Uttar Pradesh",Unnao,"Bangarmau APMC","Mentha Oil",Other,FAQ,05/04/2026,105000,105000,105000
"Uttar Pradesh",Barabanki,"Barabanki APMC",Mustard,Other,FAQ,05/04/2026,5400,6600,6544.14
"Uttar Pradesh",Barabanki,"Barabanki APMC","Green Chilli",Other,FAQ,05/04/2026,2000,2000,2000
"Uttar Pradesh",Bareilly,"Bareilly APMC",Paddy(Common),Common,FAQ,05/04/2026,3121,3295,3210.73
"Uttar Pradesh",Bareilly,"Bareilly APMC",Firewood,Firewood,FAQ,05/04/2026,400,440,410.03
"Uttar Pradesh",Bareilly,"Bareilly APMC",Wheat,"Dara Mill Quality",FAQ,05/04/2026,2300,2300,2300
"Uttar Pradesh",Bareilly,"Bareilly APMC",Wood,Other,FAQ,05/04/2026,500,715,519.65
"Uttar Pradesh",Etawah,"Bharthna APMC",Wheat,Other,FAQ,05/04/2026,2350,2585,2399.89
"Uttar Pradesh",Fatehpur,"Bindki APMC",Maize,Other,FAQ,05/04/2026,2100,2100,2100
"Uttar Pradesh",Pillibhit,"Bishalpur APMC",Wheat,Dara,FAQ,05/04/2026,2300,2300,2300
"Uttar Pradesh",Sitapur,"Viswan APMC","Masur Dal",Other,FAQ,05/04/2026,8000,8000,8000
"Uttar Pradesh",Bulandshahar,"Buland Shahr APMC",Paddy(Common),Basmati,FAQ,05/04/2026,3600,3600,3600
